,Product,Product Page,Product Title,Product subtitle,Developer,Rating,Ranking,Availability,Size,Lang,Version,Category
0,Khatmah - ختمة,https://itunes.apple.com/sa/app/khatmah-%D8%AE%D8%AA%D9%85%D8%A9/id543090051?mt=8,"Khatmah - ختمة
          4+",أفضل تطبيق لختم القرآن الكريم,Lynxapp,4.6,#5 in Books,Free,99.4 MB,"English, Arabic",Version 5.1,Books
1,القرآن الكريم كاملا بدون انترنت,https://itunes.apple.com/sa/app/%D8%A7%D9%84%D9%82%D8%B1%D8%A2%D9%86-%D8%A7%D9%84%D9%83%D8%B1%D9%8A%D9%85-%D9%83%D8%A7%D9%85%D9%84%D8%A7-%D8%A8%D8%AF%D9%88%D9%86-%D8%A7%D9%86%D8%AA%D8%B1%D9%86%D8%AA/id1164088669?mt=8,"القرآن الكريم كاملا بدون انترنت
          4+",NA,Maher Al Masri,3.5,#3 in Books,Free,67.3 MB,English,Version 1.1,Books
2,صلاتي الاذان قرآن) اذان) azan,https://itunes.apple.com/sa/app/%D8%B5%D9%84%D8%A7%D8%AA%D9%8A-%D8%A7%D9%84%D8%A7%D8%B0%D8%A7%D9%86-%D9%82%D8%B1%D8%A2%D9%86-%D8%A7%D8%B0%D8%A7%D9%86-azan/id765536780?mt=8,"صلاتي الاذان قرآن) اذان) azan
          4+",Azan Quran Ramadan for Muslims,Abx Lab,4,#6 in Books,Free,174.1 MB,"English, Arabic, French, German, Indonesian, Malay, Turkish, Urdu",Version 6.4,Books
3,Golden Quran | المصحف الذهبي,https://itunes.apple.com/sa/app/golden-quran-%D8%A7%D9%84%D9%85%D8%B5%D8%AD%D9%81-%D8%A7%D9%84%D8%B0%D9%87%D8%A8%D9%8A/id852497554?mt=8,"Golden Quran | المصحف الذهبي
          4+","مصحف،أذكار، أوقات الصلاة وأكثر",OMAR SHARIF,4.6,#8 in Books,Free,178 MB,"English, Arabic",Version 9.2,Books
4,المناهج الدراسية,https://itunes.apple.com/sa/app/%D8%A7%D9%84%D9%85%D9%86%D8%A7%D9%87%D8%AC-%D8%A7%D9%84%D8%AF%D8%B1%D8%A7%D8%B3%D9%8A%D8%A9/id463300784?mt=8,"المناهج الدراسية
          4+",NA,New Thinkers,2.8,#20 in Books,Free,43.4 MB,"English, Arabic",Version 6.0,Books
5,Arabic Dictionary +,https://itunes.apple.com/sa/app/arabic-dictionary/id400273783?mt=8,"Arabic Dictionary +
          4+",Translator to learn English,iThinkdiff,4.7,#53 in Books,Free,125.8 MB,English,Version 20.0,Books
6,Mus'haf | مصحف آي-فون إسلام,https://itunes.apple.com/sa/app/mushaf-%D9%85%D8%B5%D8%AD%D9%81-%D8%A2%D9%8A-%D9%81%D9%88%D9%86-%D8%A5%D8%B3%D9%84%D8%A7%D9%85/id328962407?mt=8,"Mus'haf | مصحف آي-فون إسلام
          4+",ليس مصحف واحد بل مكتبة مصاحف,i4islam,4.8,#37 in Books,Free,89.2 MB,"English, Arabic",Version 4.1,Books
7,كتاب حصن المسلم,https://itunes.apple.com/sa/app/%D9%83%D8%AA%D8%A7%D8%A8-%D8%AD%D8%B5%D9%86-%D8%A7%D9%84%D9%85%D8%B3%D9%84%D9%85/id597494181?mt=8,"كتاب حصن المسلم
          4+",حصن المسلم,Mohammad Daoud,4.5,#18 in Books,Free,61.8 MB,English,Version 5.1,Books
8,Jarir Reader قارئ جرير,https://itunes.apple.com/sa/app/jarir-reader-%D9%82%D8%A7%D8%B1%D8%A6-%D8%AC%D8%B1%D9%8A%D8%B1/id586875448?mt=8,"Jarir Reader قارئ جرير
          4+",كتب إلكترونية وصوتية عربية,Jarir Bookstore,4.1,#10 in Books,Free,78.3 MB,English,Version 4.5.5,Books
9,كتاب صوتي,https://itunes.apple.com/sa/app/%D9%83%D8%AA%D8%A7%D8%A8-%D8%B5%D9%88%D8%AA%D9%8A/id1219938910?mt=8,"كتاب صوتي
          12+",أضخم مجموعة كتب صوتية عربية,Kitab Sawti,4.1,#2 in Books,Free,135.7 MB,Arabic,Version 2.7.10,Books
